NAME,alcohol_pc
Alabama,1.99
Alaska,2.81
Arizona,2.3
Arkansas,1.82
California,2.3
Colorado,2.85
Connecticut,2.4
Delaware,3.6
District of Columbia,3.81
Florida,2.63
Georgia,1.92
Hawaii,2.65
Idaho,2.92
Illinois,2.38
Indiana,2.11
Iowa,2.4
Kansas,1.97
Kentucky,1.97
Louisiana,2.56
Maine,2.84
Maryland,2.13
Massachusetts,2.58
Michigan,2.34
Minnesota,2.77
Mississippi,2.2
Missouri,2.53
Montana,3.11
Nebraska,2.2
Nevada,3.43
New Hampshire,4.74
New Jersey,2.33
New Mexico,2.16
New York,2.2
North Carolina,2.13
North Dakota,3.15
Ohio,2.02
Oklahoma,1.87
Oregon,2.76
Pennsylvania,2.34
Rhode Island,2.59
South Carolina,2.19
South Dakota,2.86
Tennessee,2.11
Texas,2.34
Utah,1.36
Vermont,3.1
Virginia,2.12
Washington,2.24
West Virginia,1.74
Wisconsin,2.99
Wyoming,2.68
U.S. total,2.34