NAME,firms
Alabama,"67,328"
Alaska,"15,998"
Arizona,"100,030"
Arkansas,"47,021"
California,"712,691"
Colorado,"128,403"
Connecticut,"69,136"
Delaware,"18,091"
District of Columbia,"14,822"
Florida,"418,765"
Georgia,"165,853"
Hawaii,"23,408"
Idaho,"36,662"
Illinois,"244,176"
Indiana,"101,655"
Iowa,"60,468"
Kansas,"55,970"
Kentucky,"64,301"
Louisiana,"77,701"
Maine,"31,738"
Maryland,"101,889"
Massachusetts,"133,732"
Michigan,"164,475"
Minnesota,"113,106"
Mississippi,"40,772"
Missouri,"114,125"
Montana,"31,283"
Nebraska,"42,967"
Nevada,"49,339"
New Hampshire,"29,076"
New Jersey,"187,307"
New Mexico,"32,506"
New York,"437,555"
North Carolina,"160,559"
North Dakota,"20,951"
Ohio,"172,110"
Oklahoma,"69,259"
Oregon,"87,099"
Pennsylvania,"216,574"
Rhode Island,"23,241"
South Carolina,"74,931"
South Dakota,"21,992"
Tennessee,"90,588"
Texas,"408,024"
Utah,"62,323"
Vermont,"16,886"
Virginia,"141,854"
Washington,"143,455"
West Virginia,"24,625"
Wisconsin,"104,739"
Wyoming,"17,521"