NAME,Very_religious,Nonreligious
Mississippi,59,12
Alabama,54,17
Utah,54,30
Louisiana,52,17
South Carolina,50,20
Arkansas,50,19
Tennessee,49,22
North Carolina,46,23
Nebraska,46,25
Oklahoma,45,25
Kentucky,45,26
Georgia,44,23
Kansas,44,29
Texas,43,25
Indiana,42,31
North Dakota,40,29
Missouri,39,32
Idaho,39,37
Virginia,38,31
West Virginia,38,31
New Mexico,38,36
Ohio,37,33
National average,37,33
Iowa,37,32
Minnesota,37,35
South Dakota,37,33
Michigan,36,34
Maryland,36,33
Pennsylvania,36,34
Wyoming,36,38
Delaware,35,34
Wisconsin,35,35
Illinois,35,36
Florida,35,33
New Jersey,32,36
Rhode Island,32,39
Montana,32,39
Arizona,31,39
New York,31,40
Colorado,30,43
California,29,41
Connecticut,29,42
Oregon,28,48
Hawaii,28,44
Alaska,28,47
Washington,28,47
Nevada,26,41
Massachusetts,26,49
New Hampshire,23,51
Maine,22,55
Vermont,16,59