NAME,tequila
California,"3,934.93"
Texas,"2,392.51"
Florida,"1,113.35"
Illinois,699.48
New York,692.91
Arizona,684.25
Colorado,559.58
Georgia,558.94
Ohio,500.45
Nevada,498.25
Michigan,454.47
North Carolina,435.18
Washington,394.79
New Jersey,366.93
Missouri,360.75
Virginia,308.06
Oregon,278.08
Tennessee,272.44
Wisconsin,268.17
Pennsylvania,257.15
Massachusetts,257.06
Maryland,247.65
Louisiana,224.23
Kentucky,207.19
South Carolina,200.94
Minnesota,195.08
Indiana,193.6
Alabama,182.34
Oklahoma,181.28
New Mexico,169.61
Connecticut,164.91
Kansas,162.78
Arkansas,149.83
New Hampshire,116.64
Mississippi,103.06
Iowa,98.37
Hawaii,84.24
Utah,83.86
Nebraska,82.9
Idaho,69.26
District of Columbia,59.3
Maine,57.2
Alaska,54.49
Delaware,47.27
Rhode Island,46.67
Montana,43.61
West Virginia,36.63
Wyoming,30.76
South Dakota,25.13
Vermont,24.04
North Dakota,24.03